,name,price,status,date,images
10,['2020 Topps Chrome Luis Robert #60'],['$165'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/CUWLWRY_1610587451_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/CUWLWRY_1610587451_back.jpeg']"
11,['Michael Porter Jr.'],['$260'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KJZGJAH_1610587275_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KJZGJAH_1610587275_back.jpeg']"
12,['2x Zion Williamson Prizm PSA 10 '],"['$1,250']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/KTUEBCC_1610587053_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/KTUEBCC_1610587053_back.jpeg']"
13,['James Harden'],['$595'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/XKDIBHV_1610586361_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/XKDIBHV_1610586361_back.jpeg']"
14,['James Harden'],['$400'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/SUTUJDP_1610586191_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/SUTUJDP_1610586191_back.jpeg']"
15,['Zion Williamson Revolution'],['$50'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/AEGFCAU_1610585678_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/AEGFCAU_1610585678_back.jpeg']"
16,['Mike Trout'],"['$1,700']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JMBSVFU_1610581903_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JMBSVFU_1610581903_back.jpeg']"
17,['1997 Skybox Metal Universe Tim Duncan RC SGC 10'],['$307.5'],Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/JTFJFOR_1610581242_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/JTFJFOR_1610581242_back.jpeg']"
18,"['Fernando Tatis, Jr.']","['$4,000']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/FUSEJBF_1610576569_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/FUSEJBF_1610576569_back.jpeg']"
19,['LeBron James'],"['$2,900']",Sold,"['Jan', '14,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/CSGZLMY_1610572796_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/CSGZLMY_1610572796_back.jpeg']"
20,['2019 SELECT JAXSON HAYES #170 SCOPE PRIZM'],['$25'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/UUWJLDC_1610565765_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/UUWJLDC_1610565765_back.jpeg']"
21,['2019 PRIZM JAYLEN NOWELL SILVER'],['$20'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/YJDFLYJ_1610565716_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/YJDFLYJ_1610565716_back.jpeg']"
22,['2019 PRIZM JAYLEN NOWELL SILVER'],['$20'],Sold,"['Jan', '13,', '2021']","['https://s3.amazonaws.com/s3.myslabs.com/media/EYLBDYE_1610565641_front.jpeg', 'https://s3.amazonaws.com/s3.myslabs.com/media/EYLBDYE_1610565641_back.jpeg']"
